title,link,published,summary
Jerusalem: Palestinian anger over far-right Israeli minister's holy site visit - BBC.com,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02NDE1MDQwOdIBN2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC02NDE1MDQwOS5hbXA?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",Jerusalem: Palestinian anger over far-right Israeli minister's holy site visit  BBC.com
Digital surveillance in the Middle East | Technology News - Al Jazeera English,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vcG9kY2FzdHMvMjAyMy8xLzUvZGlnaXRhbC1zdXJ2ZWlsbGFuY2UtaW4tdGhlLW1pZGRsZS1lYXN00gEA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Digital surveillance in the Middle East | Technology News  Al Jazeera English
Assistant Secretary-General Khaled Khiari briefs the Security Council on ongoing tensions and violence in the ... - Department of Political and Peacebuilding Affairs,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vZHBwYS51bi5vcmcvZW4vYXNzaXN0YW50LXNlY3JldGFyeS1nZW5lcmFsLWtoYWxlZC1raGlhcmktYnJpZWZzLXNlY3VyaXR5LWNvdW5jaWwtb25nb2luZy10ZW5zaW9ucy1hbmQtdmlvbGVuY2XSAQA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Assistant Secretary-General Khaled Khiari briefs the Security Council on ongoing tensions and violence in the ...  Department of Political and Peacebuilding Affairs
It's Everyone's Business - UNICEF,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LnVuaWNlZi5vcmcvbWVuYS9yZXBvcnRzL2l0cy1ldmVyeW9uZXMtYnVzaW5lc3PSAQA?oc=5,"Sun, 01 Jan 2023 08:00:00 GMT",It's Everyone's Business  UNICEF
New Israeli government takes steps to penalize Palestinians - The Associated Press,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3BvbGl0aWNzLWlzcmFlbC1wYWxlc3Rpbmlhbi10ZXJyaXRvcmllcy1nb3Zlcm5tZW50LW1pZGRsZS1lYXN0LWY3OTVlYjgwZDBjOTZjMTg1Y2QyYTNjNmVhODExMTlm0gEA?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT",New Israeli government takes steps to penalize Palestinians  The Associated Press
Pinpointing storm triggers after the dust has settled - Nature Middle East,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lm5hdHVyZWFzaWEuY29tL2VuL25taWRkbGVlYXN0L2FydGljbGUvMTAuMTAzOC9ubWlkZGxlZWFzdC4yMDIzLjHSAQA?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",Pinpointing storm triggers after the dust has settled  Nature Middle East
US top Middle East commander tests new model of deterring Iran - Al-Monitor,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmFsLW1vbml0b3IuY29tL29yaWdpbmFscy8yMDIyLzEyL3VzLXRvcC1taWRkbGUtZWFzdC1jb21tYW5kZXItdGVzdHMtbmV3LW1vZGVsLWRldGVycmluZy1pcmFu0gEA?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",US top Middle East commander tests new model of deterring Iran  Al-Monitor
The Middle East and its move away from oil and gas - Middle East Monitor,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwNS1taWRkbGUtZWFzdC0yMDIyLWVuZXJneS1wZXJzcGVjdGl2ZS0zLTMv0gFXaHR0cHM6Ly93d3cubWlkZGxlZWFzdG1vbml0b3IuY29tLzIwMjMwMTA1LW1pZGRsZS1lYXN0LTIwMjItZW5lcmd5LXBlcnNwZWN0aXZlLTMtMy9hbXAv?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",The Middle East and its move away from oil and gas  Middle East Monitor
"Israel was never a democracy, so why is the West lamenting the end of a ‘liberal’ state? - Middle East Monitor",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5taWRkbGVlYXN0bW9uaXRvci5jb20vMjAyMzAxMDMtaXNyYWVsLXdhcy1uZXZlci1hLWRlbW9jcmFjeS1zby13aHktaXMtdGhlLXdlc3QtbGFtZW50aW5nLXRoZS1lbmQtb2YtYS1saWJlcmFsLXN0YXRlL9IBhAFodHRwczovL3d3dy5taWRkbGVlYXN0bW9uaXRvci5jb20vMjAyMzAxMDMtaXNyYWVsLXdhcy1uZXZlci1hLWRlbW9jcmFjeS1zby13aHktaXMtdGhlLXdlc3QtbGFtZW50aW5nLXRoZS1lbmQtb2YtYS1saWJlcmFsLXN0YXRlL2FtcC8?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT","Israel was never a democracy, so why is the West lamenting the end of a ‘liberal’ state?  Middle East Monitor"
US warns Israel over illegal colonial outposts in Palestine - Middle East Monitor,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwNS11cy13YXJucy1pc3JhZWwtb3Zlci1pbGxlZ2FsLWNvbG9uaWFsLW91dHBvc3RzLWluLXBhbGVzdGluZS_SAWtodHRwczovL3d3dy5taWRkbGVlYXN0bW9uaXRvci5jb20vMjAyMzAxMDUtdXMtd2FybnMtaXNyYWVsLW92ZXItaWxsZWdhbC1jb2xvbmlhbC1vdXRwb3N0cy1pbi1wYWxlc3RpbmUvYW1wLw?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",US warns Israel over illegal colonial outposts in Palestine  Middle East Monitor
Israel National Security Minister announces harsher policy on Palestinian prisoners - Middle East Monitor,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwNi1pc3JhZWwtbmF0aW9uYWwtc2VjdXJpdHktbWluaXN0ZXItYW5ub3VuY2VzLWhhcnNoZXItcG9saWN5LW9uLXBhbGVzdGluaWFuLXByaXNvbmVycy_SAYMBaHR0cHM6Ly93d3cubWlkZGxlZWFzdG1vbml0b3IuY29tLzIwMjMwMTA2LWlzcmFlbC1uYXRpb25hbC1zZWN1cml0eS1taW5pc3Rlci1hbm5vdW5jZXMtaGFyc2hlci1wb2xpY3ktb24tcGFsZXN0aW5pYW4tcHJpc29uZXJzL2FtcC8?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT",Israel National Security Minister announces harsher policy on Palestinian prisoners  Middle East Monitor
"Checkpoint bags, Gaza goggles: Designs that narrate the Palestinian struggle - Middle East Eye",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L2Rpc2NvdmVyL2NoZWNrcG9pbnQtYmFncy1nYXphLWdvZ2dsZXMtZGVzaWducy1uYXJyYXRlLXBhbGVzdGluaWFuLXN0cnVnZ2xl0gEA?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT","Checkpoint bags, Gaza goggles: Designs that narrate the Palestinian struggle  Middle East Eye"
Israeli MP says time to 'subdue Palestinians once and for all' in the 'last war' - Middle East Eye,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L25ld3MvaXNyYWVsLXBhbGVzdGluZS1mYXItcmlnaHQtbXAtY2FsbHMtc3ViZHVlLWxhc3Qtd2Fy0gEA?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT",Israeli MP says time to 'subdue Palestinians once and for all' in the 'last war'  Middle East Eye
Israel Gov’t prepares package of sanctions against Palestinians - Middle East Monitor,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwMi1pc3JhZWwtZ292dC1wcmVwYXJlcy1wYWNrYWdlLW9mLXNhbmN0aW9ucy1hZ2FpbnN0LXBhbGVzdGluaWFucy_SAW5odHRwczovL3d3dy5taWRkbGVlYXN0bW9uaXRvci5jb20vMjAyMzAxMDItaXNyYWVsLWdvdnQtcHJlcGFyZXMtcGFja2FnZS1vZi1zYW5jdGlvbnMtYWdhaW5zdC1wYWxlc3RpbmlhbnMvYW1wLw?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT",Israel Gov’t prepares package of sanctions against Palestinians  Middle East Monitor
"International courts won't stop Israel's occupation, but they can shift narratives - Middle East Eye",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L25ld3MvaW50ZXJuYXRpb25hbC1jb3VydHMtd29udC1zdG9wLUlzcmFlbHMtb2NjdXBhdGlvbi1idXQtY2FuLXNoaWZ0LW5hcnJhdGl2ZXPSAQA?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT","International courts won't stop Israel's occupation, but they can shift narratives  Middle East Eye"
Palestine: Unite or die - Al Jazeera English,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vb3BpbmlvbnMvMjAyMy8xLzYvcGFsZXN0aW5lLXVuaXRlLW9yLWRpZdIBRmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL29waW5pb25zLzIwMjMvMS82L3BhbGVzdGluZS11bml0ZS1vci1kaWU?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT",Palestine: Unite or die  Al Jazeera English
George Abraham’s Birthright is a lexicon of resistance and return - Middle East Monitor,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwNS1nZW9yZ2UtYWJyYWhhbXMtYmlydGhyaWdodC1pcy1hLWxleGljb24tb2YtcmVzaXN0YW5jZS1hbmQtcmV0dXJuL9IBcGh0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwNS1nZW9yZ2UtYWJyYWhhbXMtYmlydGhyaWdodC1pcy1hLWxleGljb24tb2YtcmVzaXN0YW5jZS1hbmQtcmV0dXJuL2FtcC8?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",George Abraham’s Birthright is a lexicon of resistance and return  Middle East Monitor
Israel government is new normal in the Middle East - Asia Times,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vYXNpYXRpbWVzLmNvbS8yMDIzLzAxL2lzcmFlbC1nb3Zlcm5tZW50LWlzLW5ldy1ub3JtYWwtaW4tdGhlLW1pZGRsZS1lYXN0L9IBAA?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",Israel government is new normal in the Middle East  Asia Times
Is Ben-Gvir preparing a holy war against the Palestinians? - Middle East Eye,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L29waW5pb24vaXNyYWVsLWJlbi1ndmlyLXBhbGVzdGluaWFucy1ob2x5LXdhci1wcmVwYXJpbmctaXPSAQA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Is Ben-Gvir preparing a holy war against the Palestinians?  Middle East Eye
Palestine: The Fatah ship is sinking fast. Elections must be held now - Middle East Eye,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L29waW5pb24vcGFsZXN0aW5lLWZhdGFoLXNoaXAtc2lua2luZy1mYXN0LWVsZWN0aW9uLWhlbGTSAQA?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT",Palestine: The Fatah ship is sinking fast. Elections must be held now  Middle East Eye
'Grabbed by an iron fist': Ben-Gvir visit shows Israel is seizing control of Al-Aqsa - Middle East Eye,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L29waW5pb24vaXNyYWVsLXBhbGVzdGluZS1hbC1hcXNhLXNlaXppbmctY29udHJvbNIBAA?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT",'Grabbed by an iron fist': Ben-Gvir visit shows Israel is seizing control of Al-Aqsa  Middle East Eye
Israel's Ben-Gvir tells police to remove Palestinian flags from public space - Reuters.com,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L2lzcmFlbHMtYmVuLWd2aXItdGVsbHMtcG9saWNlLXJlbW92ZS1wYWxlc3Rpbmlhbi1mbGFncy1wdWJsaWMtc3BhY2UtMjAyMy0wMS0wOC_SAQA?oc=5,"Sun, 08 Jan 2023 08:00:00 GMT",Israel's Ben-Gvir tells police to remove Palestinian flags from public space  Reuters.com
Doomed in Gaza: The breast cancer lottery facing Palestinian women - Middle East Eye,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L2Rpc2NvdmVyL2Rvb21lZC1nYXphLWZpbG0tc3Vydml2aW5nLWJyZWFzdC1jYW5jZXItbG90dGVyeS10cmVhdG1lbnTSAQA?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",Doomed in Gaza: The breast cancer lottery facing Palestinian women  Middle East Eye
"Away from the rhetoric, where is European support for Palestine? - Middle East Monitor",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwMy1hd2F5LWZyb20tdGhlLXJoZXRvcmljLXdoZXJlLWlzLWV1cm9wZWFuLXN1cHBvcnQtZm9yLXBhbGVzdGluZS_SAW5odHRwczovL3d3dy5taWRkbGVlYXN0bW9uaXRvci5jb20vMjAyMzAxMDMtYXdheS1mcm9tLXRoZS1yaGV0b3JpYy13aGVyZS1pcy1ldXJvcGVhbi1zdXBwb3J0LWZvci1wYWxlc3RpbmUvYW1wLw?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT","Away from the rhetoric, where is European support for Palestine?  Middle East Monitor"
Gaza says Israel not allowing in enough X-ray machines for medical care - Reuters.com,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L2dhemEtc2F5cy1pc3JhZWwtbm90LWFsbG93aW5nLWVub3VnaC14LXJheS1tYWNoaW5lcy1tZWRpY2FsLWNhcmUtMjAyMy0wMS0wNS_SAQA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Gaza says Israel not allowing in enough X-ray machines for medical care  Reuters.com
Hamas 'won't sit idly by' if Ben-Gvir makes incendiary Al-Aqsa visit - Middle East Eye,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L25ld3MvZ2F6YS1oYW1hcy1iZW4tZ3Zpci1hbC1hcXNhLXZpc2l00gEA?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT",Hamas 'won't sit idly by' if Ben-Gvir makes incendiary Al-Aqsa visit  Middle East Eye
Is China Overly Reliant On Middle Eastern Oil - OilPrice.com,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vb2lscHJpY2UuY29tL0VuZXJneS9FbmVyZ3ktR2VuZXJhbC9Jcy1DaGluYS1PdmVybHktUmVsaWFudC1Pbi1NaWRkbGUtRWFzdGVybi1PaWwuaHRtbNIBYWh0dHBzOi8vb2lscHJpY2UuY29tL0VuZXJneS9FbmVyZ3ktR2VuZXJhbC9Jcy1DaGluYS1PdmVybHktUmVsaWFudC1Pbi1NaWRkbGUtRWFzdGVybi1PaWwuYW1wLmh0bWw?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT",Is China Overly Reliant On Middle Eastern Oil  OilPrice.com
Israeli forces kill two Palestinians during West Bank home demolitions - Middle East Eye,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L25ld3MvaXNyYWVsLXBhbGVzdGluZS1raWxsLXR3by13ZXN0LWJhbmstaG9tZS1kZW1vbGl0aW9u0gEA?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT",Israeli forces kill two Palestinians during West Bank home demolitions  Middle East Eye
Poland: Public narratives and attitudes towards refugees and other migrants - European Union,https://news.google.com/rss/articles/CBMihwFodHRwczovL21pZ3JhbnQtaW50ZWdyYXRpb24uZWMuZXVyb3BhLmV1L2xpYnJhcnktZG9jdW1lbnQvcG9sYW5kLXB1YmxpYy1uYXJyYXRpdmVzLWFuZC1hdHRpdHVkZXMtdG93YXJkcy1yZWZ1Z2Vlcy1hbmQtb3RoZXItbWlncmFudHNfZW7SAQA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Poland: Public narratives and attitudes towards refugees and other migrants  European Union
"Israel's occupation is 'permanent as of now', says MP in Netanyahu's coalition - Middle East Eye",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L25ld3MvaXNyYWVsLW9jY3VwYXRpb24tcGVybWFuZW50LW1wLW5ldGFueWFodS1jb2FsaXRpb27SAQA?oc=5,"Sun, 01 Jan 2023 08:00:00 GMT","Israel's occupation is 'permanent as of now', says MP in Netanyahu's coalition  Middle East Eye"
"Saudi Arabia: At Al-Nassr, Cristiano Ronaldo should draw attention to human rights issues - Amnesty International",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5hbW5lc3R5Lm9yZy9lbi9sYXRlc3QvbmV3cy8yMDIzLzAxL3NhdWRpLWFyYWJpYS1hdC1hbC1uYXNzci1jcmlzdGlhbm8tcm9uYWxkby1zaG91bGQtZHJhdy1hdHRlbnRpb24tdG8taHVtYW4tcmlnaHRzLWlzc3Vlcy_SAQA?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT","Saudi Arabia: At Al-Nassr, Cristiano Ronaldo should draw attention to human rights issues  Amnesty International"
Israel’s hopes for United Arab Emirates tourism fall short - PBS NewsHour,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvd29ybGQvaXNyYWVscy1ob3Blcy1mb3ItdW5pdGVkLWFyYWItZW1pcmF0ZXMtdG91cmlzbS1mYWxsLXNob3J00gFgaHR0cHM6Ly93d3cucGJzLm9yZy9uZXdzaG91ci9hbXAvd29ybGQvaXNyYWVscy1ob3Blcy1mb3ItdW5pdGVkLWFyYWItZW1pcmF0ZXMtdG91cmlzbS1mYWxsLXNob3J0?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",Israel’s hopes for United Arab Emirates tourism fall short  PBS NewsHour
Israel ranks among 10 most powerful countries in annual list; 4th strongest military - The Times of Israel,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2lzcmFlbC1hbW9uZy0xMC1tb3N0LXBvd2VyZnVsLWNvdW50cmllcy1pbi10aGUtd29ybGQtaW4tYW5udWFsLWxpc3Qv0gFmaHR0cHM6Ly93d3cudGltZXNvZmlzcmFlbC5jb20vaXNyYWVsLWFtb25nLTEwLW1vc3QtcG93ZXJmdWwtY291bnRyaWVzLWluLXRoZS13b3JsZC1pbi1hbm51YWwtbGlzdC9hbXAv?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT",Israel ranks among 10 most powerful countries in annual list; 4th strongest military  The Times of Israel
Middle Eastern NATO: A bridge too far? - The New Arab,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3Lm5ld2FyYWIuY29tL2FuYWx5c2lzL21pZGRsZS1lYXN0ZXJuLW5hdG8tYnJpZGdlLXRvby1mYXLSAUdodHRwczovL3d3dy5uZXdhcmFiLmNvbS9hbmFseXNpcy9taWRkbGUtZWFzdGVybi1uYXRvLWJyaWRnZS10b28tZmFyP2FtcA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Middle Eastern NATO: A bridge too far?  The New Arab
Ben-Gvir's Jerusalem Holy Site Trip Underscores Worrying Trend - TIME,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdGltZS5jb20vNjI0NDU1NS90ZW1wbGUtbW91bnQtaGFyYW0tYWwtc2hhcmlmLWlzcmFlbC1iZW4tZ3Zpci_SAQA?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT",Ben-Gvir's Jerusalem Holy Site Trip Underscores Worrying Trend  TIME
"Israeli delegation in UAE ahead of regional summit, despite tensions - Middle East Eye",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3Lm1pZGRsZWVhc3RleWUubmV0L25ld3MvaXNyYWVsLXVhZS1kZWxlZ2F0aW9ucy1tZWV0LWFoZWFkLXJlZ2lvbmFsLXN1bW1pdC1kZXNwaXRlLXRlbnNpb25z0gEA?oc=5,"Sun, 08 Jan 2023 08:00:00 GMT","Israeli delegation in UAE ahead of regional summit, despite tensions  Middle East Eye"
Why Israeli raids on al-Aqsa Mosque are stoking tensions - The Washington Post,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDIzLzAxLzA1L3RlbXBsZS1tb3VudC1hbC1hcXNhLWJlbi1ndmlyLWlzcmFlbC_SAQA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Why Israeli raids on al-Aqsa Mosque are stoking tensions  The Washington Post
"Israel's Ben-Gvir visits Al Aqsa mosque compound, Palestinians incensed - Reuters.com",https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS93b3JsZC9taWRkbGUtZWFzdC9pc3JhZWxpLWZhci1yaWdodC1taW5pc3Rlci12aXNpdHMtY29udGVzdGVkLWplcnVzYWxlbS1ob2x5LXNpdGUtbWVkaWEtcmVwb3J0cy0yMDIzLTAxLTAzL9IBAA?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT","Israel's Ben-Gvir visits Al Aqsa mosque compound, Palestinians incensed  Reuters.com"
"Lenovo's Love On Global Month of Service Sees Employees Across Europe, the Middle East, and Africa Support Local ... - Lenovo StoryHub",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vbmV3cy5sZW5vdm8uY29tL21vbnRoLW9mLXNlcnZpY2UtZW1wbG95ZWVzLWVtZWEtc3VwcG9ydC1sb2NhbC1jb21tdW5pdGllcy_SAQA?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT","Lenovo's Love On Global Month of Service Sees Employees Across Europe, the Middle East, and Africa Support Local ...  Lenovo StoryHub"
